Region,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,
.Texas,"22,030,931","22,394,023","22,778,123","23,359,580","23,831,983","24,309,039","24,801,761","25,245,178","25,640,909","26,060,796","26,448,193",,
.Utah,"2,360,137","2,401,580","2,457,719","2,525,507","2,597,746","2,663,029","2,723,421","2,774,424","2,814,784","2,854,871","2,900,872",,
.Vermont,"617,858","619,920","621,215","622,892","623,481","624,151","624,817","625,793","626,320","625,953","626,630",,
.Virginia,"7,366,977","7,475,575","7,577,105","7,673,725","7,751,000","7,833,496","7,925,937","8,024,417","8,105,850","8,186,628","8,260,405",,
.Washington,"6,104,115","6,178,645","6,257,305","6,370,753","6,461,587","6,562,231","6,667,426","6,742,256","6,821,481","6,895,318","6,971,406",,
.West Virginia,"1,812,295","1,816,438","1,820,492","1,827,912","1,834,052","1,840,310","1,847,775","1,854,146","1,855,184","1,856,680","1,854,304",,
.Wisconsin,"5,479,203","5,514,026","5,546,166","5,577,655","5,610,775","5,640,996","5,669,264","5,689,060","5,708,785","5,724,554","5,742,713",,
.Wyoming,"503,453","509,106","514,157","522,667","534,876","546,043","559,851","564,222","567,329","576,626","582,658",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
